gold_value,output_value,micro,operation,error_site,precision,input_size,gold_value_parsed,output_value_parsed,diff_value,relative_diff
922135429,1032418574,FADD,1,pipeline,float,small,7.351338808803121e-06,0.06711779534816742,-0.06711044400935862,9129.009797371173
922135429,3173421743,FADD,1,pipeline,float,small,7.351338808803121e-06,-0.04066723212599754,0.040674583464806346,5532.949102563349
922135429,1034652558,FADD,1,pipeline,float,small,7.351338808803121e-06,0.0837622731924057,-0.0837549218535969,11393.152190632487
922135429,3143374753,FADD,1,pipeline,float,small,7.351338808803121e-06,-0.0033583419863134623,0.0033656933251222654,457.8340643328664
922135429,929930286,FADD,1,pipeline,float,small,7.351338808803121e-06,1.4162664228933863e-05,-6.811325420130743e-06,0.9265421710633552
922135429,938318894,FADD,1,pipeline,float,small,7.351338808803121e-06,2.8325328457867727e-05,-2.0973989649064606e-05,2.8530843421267105
922135429,0,FADD,1,pipeline,float,small,7.351338808803121e-06,0.0,7.351338808803121e-06,1.0
922135429,934277453,FADD,1,pipeline,float,small,7.351338808803121e-06,2.0973990103811957e-05,-1.3622651295008836e-05,1.8530844039858305
922135429,934277453,FADD,1,pipeline,float,small,7.351338808803121e-06,2.0973990103811957e-05,-1.3622651295008836e-05,1.8530844039858305
922135429,938318894,FADD,1,pipeline,float,small,7.351338808803121e-06,2.8325328457867727e-05,-2.0973989649064606e-05,2.8530843421267105
922135429,938318894,FADD,1,pipeline,float,small,7.351338808803121e-06,2.8325328457867727e-05,-2.0973989649064606e-05,2.8530843421267105
922135429,938318894,FADD,1,pipeline,float,small,7.351338808803121e-06,2.8325328457867727e-05,-2.0973989649064606e-05,2.8530843421267105
922135429,929930286,FADD,1,pipeline,float,small,7.351338808803121e-06,1.4162664228933863e-05,-6.811325420130743e-06,0.9265421710633552
922135429,929930286,FADD,1,pipeline,float,small,7.351338808803121e-06,1.4162664228933863e-05,-6.811325420130743e-06,0.9265421710633552
922135429,938318894,FADD,1,pipeline,float,small,7.351338808803121e-06,2.8325328457867727e-05,-2.0973989649064606e-05,2.8530843421267105
922135429,934277453,FADD,1,pipeline,float,small,7.351338808803121e-06,2.0973990103811957e-05,-1.3622651295008836e-05,1.8530844039858305
922135429,938318894,FADD,1,pipeline,float,small,7.351338808803121e-06,2.8325328457867727e-05,-2.0973989649064606e-05,2.8530843421267105
922135429,938318894,FADD,1,pipeline,float,small,7.351338808803121e-06,2.8325328457867727e-05,-2.0973989649064606e-05,2.8530843421267105
922135429,934277453,FADD,1,pipeline,float,small,7.351338808803121e-06,2.0973990103811957e-05,-1.3622651295008836e-05,1.8530844039858305
922135429,938318894,FADD,1,pipeline,float,small,7.351338808803121e-06,2.8325328457867727e-05,-2.0973989649064606e-05,2.8530843421267105
922135429,938318894,FADD,1,pipeline,float,small,7.351338808803121e-06,2.8325328457867727e-05,-2.0973989649064606e-05,2.8530843421267105
922135429,938318894,FADD,1,pipeline,float,small,7.351338808803121e-06,2.8325328457867727e-05,-2.0973989649064606e-05,2.8530843421267105
922135429,934277453,FADD,1,pipeline,float,small,7.351338808803121e-06,2.0973990103811957e-05,-1.3622651295008836e-05,1.8530844039858305
922135429,938318894,FADD,1,pipeline,float,small,7.351338808803121e-06,2.8325328457867727e-05,-2.0973989649064606e-05,2.8530843421267105
922135429,934277453,FADD,1,pipeline,float,small,7.351338808803121e-06,2.0973990103811957e-05,-1.3622651295008836e-05,1.8530844039858305
922135429,0,FADD,1,pipeline,float,small,7.351338808803121e-06,0.0,7.351338808803121e-06,1.0
922135429,0,FADD,1,pipeline,float,small,7.351338808803121e-06,0.0,7.351338808803121e-06,1.0
922135429,3171825450,FADD,1,pipeline,float,small,7.351338808803121e-06,-0.03472057729959488,0.03472792863840368,4724.02776441449
922135429,1025960933,FADD,1,pipeline,float,small,7.351338808803121e-06,0.040752310305833817,-0.04074495896702501,5542.52225706609
922135429,3171825450,FADD,1,pipeline,float,small,7.351338808803121e-06,-0.03472057729959488,0.03472792863840368,4724.02776441449
922135429,1025960933,FADD,1,pipeline,float,small,7.351338808803121e-06,0.040752310305833817,-0.04074495896702501,5542.52225706609
922135429,3171825450,FADD,1,pipeline,float,small,7.351338808803121e-06,-0.03472057729959488,0.03472792863840368,4724.02776441449
922135429,3171825450,FADD,1,pipeline,float,small,7.351338808803121e-06,-0.03472057729959488,0.03472792863840368,4724.02776441449
922135429,3171825450,FADD,1,pipeline,float,small,7.351338808803121e-06,-0.03472057729959488,0.03472792863840368,4724.02776441449
922135429,1025960933,FADD,1,pipeline,float,small,7.351338808803121e-06,0.040752310305833817,-0.04074495896702501,5542.52225706609
922135429,3171825450,FADD,1,pipeline,float,small,7.351338808803121e-06,-0.03472057729959488,0.03472792863840368,4724.02776441449
922135429,934277453,FADD,1,pipeline,float,small,7.351338808803121e-06,2.0973990103811957e-05,-1.3622651295008836e-05,1.8530844039858305
922135429,1440036580,FADD,1,pipeline,float,small,7.351338808803121e-06,29303966269440.0,-29303966269440.0,3.9862080950954035e+18
922135429,934277453,FADD,1,pipeline,float,small,7.351338808803121e-06,2.0973990103811957e-05,-1.3622651295008836e-05,1.8530844039858305
922135429,934277453,FADD,1,pipeline,float,small,7.351338808803121e-06,2.0973990103811957e-05,-1.3622651295008836e-05,1.8530844039858305
922135429,2156337579,FADD,1,pipeline,float,small,7.351338808803121e-06,-1.2406999913537892e-38,7.351338808803121e-06,1.0
922135429,428617349,FADD,1,pipeline,float,small,7.351338808803121e-06,1.4494449808718538e-23,7.351338808803121e-06,1.0
922135429,2873962117,FADD,1,pipeline,float,small,7.351338808803121e-06,-7.289518923377092e-13,7.351339537755013e-06,1.0000000991590663
922135429,1025960933,FADD,1,pipeline,float,small,7.351338808803121e-06,0.040752310305833817,-0.04074495896702501,5542.52225706609
922135429,0,FADD,1,pipeline,float,small,7.351338808803121e-06,0.0,7.351338808803121e-06,1.0
922135429,0,FADD,1,pipeline,float,small,7.351338808803121e-06,0.0,7.351338808803121e-06,1.0
922135429,0,FADD,1,pipeline,float,small,7.351338808803121e-06,0.0,7.351338808803121e-06,1.0
922135429,0,FADD,1,pipeline,float,small,7.351338808803121e-06,0.0,7.351338808803121e-06,1.0
922135429,0,FADD,1,pipeline,float,small,7.351338808803121e-06,0.0,7.351338808803121e-06,1.0
922135429,0,FADD,1,pipeline,float,small,7.351338808803121e-06,0.0,7.351338808803121e-06,1.0
922135429,0,FADD,1,pipeline,float,small,7.351338808803121e-06,0.0,7.351338808803121e-06,1.0
922135429,1025960933,FADD,1,pipeline,float,small,7.351338808803121e-06,0.040752310305833817,-0.04074495896702501,5542.52225706609
922135429,0,FADD,1,pipeline,float,small,7.351338808803121e-06,0.0,7.351338808803121e-06,1.0
922135429,0,FADD,1,pipeline,float,small,7.351338808803121e-06,0.0,7.351338808803121e-06,1.0
922135429,0,FADD,1,pipeline,float,small,7.351338808803121e-06,0.0,7.351338808803121e-06,1.0
922135429,0,FADD,1,pipeline,float,small,7.351338808803121e-06,0.0,7.351338808803121e-06,1.0
922135429,1025960933,FADD,1,pipeline,float,small,7.351338808803121e-06,0.040752310305833817,-0.04074495896702501,5542.52225706609
922135429,3171825450,FADD,1,pipeline,float,small,7.351338808803121e-06,-0.03472057729959488,0.03472792863840368,4724.02776441449
922135429,3171825450,FADD,1,pipeline,float,small,7.351338808803121e-06,-0.03472057729959488,0.03472792863840368,4724.02776441449
922135429,1025960933,FADD,1,pipeline,float,small,7.351338808803121e-06,0.040752310305833817,-0.04074495896702501,5542.52225706609
922135429,0,FADD,1,pipeline,float,small,7.351338808803121e-06,0.0,7.351338808803121e-06,1.0
922135429,1025960933,FADD,1,pipeline,float,small,7.351338808803121e-06,0.040752310305833817,-0.04074495896702501,5542.52225706609
922135429,1025960933,FADD,1,pipeline,float,small,7.351338808803121e-06,0.040752310305833817,-0.04074495896702501,5542.52225706609
922135429,0,FADD,1,pipeline,float,small,7.351338808803121e-06,0.0,7.351338808803121e-06,1.0
922135429,0,FADD,1,pipeline,float,small,7.351338808803121e-06,0.0,7.351338808803121e-06,1.0
922135429,1025960933,FADD,1,pipeline,float,small,7.351338808803121e-06,0.040752310305833817,-0.04074495896702501,5542.52225706609
922135429,3171825450,FADD,1,pipeline,float,small,7.351338808803121e-06,-0.03472057729959488,0.03472792863840368,4724.02776441449
922135429,1025960933,FADD,1,pipeline,float,small,7.351338808803121e-06,0.040752310305833817,-0.04074495896702501,5542.52225706609
922135429,3171825450,FADD,1,pipeline,float,small,7.351338808803121e-06,-0.03472057729959488,0.03472792863840368,4724.02776441449
922135429,1025960933,FADD,1,pipeline,float,small,7.351338808803121e-06,0.040752310305833817,-0.04074495896702501,5542.52225706609
922135429,3171825450,FADD,1,pipeline,float,small,7.351338808803121e-06,-0.03472057729959488,0.03472792863840368,4724.02776441449
922135429,0,FADD,1,pipeline,float,small,7.351338808803121e-06,0.0,7.351338808803121e-06,1.0
922135429,0,FADD,1,pipeline,float,small,7.351338808803121e-06,0.0,7.351338808803121e-06,1.0
922135429,0,FADD,1,pipeline,float,small,7.351338808803121e-06,0.0,7.351338808803121e-06,1.0
922135429,3180550596,FADD,1,pipeline,float,small,7.351338808803121e-06,-0.07194855809211731,0.07195590943092611,9788.13673296624
922135429,0,FADD,1,pipeline,float,small,7.351338808803121e-06,0.0,7.351338808803121e-06,1.0
922135429,3180550596,FADD,1,pipeline,float,small,7.351338808803121e-06,-0.07194855809211731,0.07195590943092611,9788.13673296624
922135429,3069619077,FADD,1,pipeline,float,small,7.351338808803121e-06,-7.351338808803121e-06,1.4702677617606241e-05,2.0
922135429,3171825450,FADD,1,pipeline,float,small,7.351338808803121e-06,-0.03472057729959488,0.03472792863840368,4724.02776441449
922135429,2240120197,FADD,1,pipeline,float,small,7.351338808803121e-06,-1.2556307222345644e-35,7.351338808803121e-06,1.0
922135429,3579139413,FADD,1,pipeline,float,small,7.351338808803121e-06,-14660154687488.0,14660154687488.0,1.9942156209604541e+18
922135429,3171825450,FADD,1,pipeline,float,small,7.351338808803121e-06,-0.03472057729959488,0.03472792863840368,4724.02776441449
922135429,0,FADD,1,pipeline,float,small,7.351338808803121e-06,0.0,7.351338808803121e-06,1.0
922135429,0,FADD,1,pipeline,float,small,7.351338808803121e-06,0.0,7.351338808803121e-06,1.0
922135429,2240120197,FADD,1,pipeline,float,small,7.351338808803121e-06,-1.2556307222345644e-35,7.351338808803121e-06,1.0
922135429,0,FADD,1,pipeline,float,small,7.351338808803121e-06,0.0,7.351338808803121e-06,1.0
922135429,0,FADD,1,pipeline,float,small,7.351338808803121e-06,0.0,7.351338808803121e-06,1.0
922135429,2240120197,FADD,1,pipeline,float,small,7.351338808803121e-06,-1.2556307222345644e-35,7.351338808803121e-06,1.0
922135429,934277453,FADD,1,pipeline,float,small,7.351338808803121e-06,2.0973990103811957e-05,-1.3622651295008836e-05,1.8530844039858305
922135429,1025960933,FADD,1,pipeline,float,small,7.351338808803121e-06,0.040752310305833817,-0.04074495896702501,5542.52225706609
